Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000499,stromal cell,TGFB,cytokine,Unknown,3,2.22
CL_0002092,bone marrow cell,IL3,cytokine,Unknown,3,32.88
CL_0000623,natural killer cell,CXCL10,cytokine,Unknown,3,5.27
CL_0002622,prostate stromal cell,TGFB1,cytokine,Positive,3,36.62
CL_0000746,cardiac muscle cell,LIF,cytokine,Unknown,3,127.04
CL_0000763,myeloid cell,TGFB,cytokine,Positive,3,1.26
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL15,cytokine,Unknown,3,4.34
CL_0000148,melanocyte,FGF2,cytokine,Unknown,3,16.93
CL_0000182,hepatocyte,TGFA,cytokine,Unknown,3,36.46
CL_0000092,osteoclast,CCL2,cytokine,Positive,3,0.78
CL_0000066,epithelial cell,CSF2,cytokine,Unknown,3,1.94
CL_0000312,keratinocyte,IL22,cytokine,Unknown,3,15.15
CL_0000581,peritoneal macrophage,IL12,cell,Positive,3,2.75
CL_0000771,eosinophil,IL3,cytokine,Unknown,3,5.16
CL_0000132,corneal endothelial cell,FGF2,cytokine,Positive,3,56.44
CL_0000134,mesenchymal cell,IFNG,cytokine,Unknown,3,1.02
CL_0000235,macrophage,CSF3,cytokine,Positive,3,0.09
CL_0000084,T cell,CCL4,cytokine,Positive,3,0.65
CL_0000082,epithelial cell of lung,TGFB,cytokine,Unknown,3,12.65
CL_0000775,neutrophil,IL2,cytokine,Negative,3,0.32
CL_0002620,skin fibroblast,TGFB,cytokine,Unknown,3,35.57
CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell",IL2,cytokine,Unknown,3,8.08
CL_0000650,mesangial cell,PDGF,cytokine,Positive,3,35.53
CL_0000545,T-helper 1 cell,IL17,cytokine,Unknown,3,3.31
CL_0000092,osteoclast,SPP1,cytokine,Unknown,3,19.16
CL_0000542,lymphocyte,IL17A,cytokine,Unknown,3,3.87
CL_0002328,bronchial epithelial cell,TGFB1,cytokine,Unknown,3,17.09
CL_0000775,neutrophil,CCL3,cytokine,Negative,3,10.12
CL_0000312,keratinocyte,IL3,cell,Positive,3,2.96
CL_0000824,mature natural killer cell,IFNG,cytokine,Negative,3,3.41
CL_0000034,stem cell,KITLG,cytokine,Positive,3,10.78
CL_0000235,macrophage,CXCL1,cell,Positive,3,1.99
CL_0000038,erythroid progenitor cell,IL4,cytokine,Positive,3,1.73
CL_0000871,splenic macrophage,TNF,cell,Positive,3,7.39
CL_0000097,mast cell,IL2,cell,Positive,3,0.41
CL_0000912,helper T cell,IFNG,cytokine,Unknown,3,2.23
CL_0000192,smooth muscle cell,EGF,cytokine,Positive,3,37.78
CL_0000775,neutrophil,CXCL6,cytokine,Positive,3,11
CL_0000057,fibroblast,FGF2,cytokine,Negative,3,3.1
CL_0000650,mesangial cell,TGFB1,cytokine,Unknown,3,8.84
CL_0000037,hematopoietic stem cell,CCL4,cytokine,Positive,3,19.78
CL_0000746,cardiac muscle cell,TNF,cytokine,Unknown,3,2.21
CL_0000782,myeloid dendritic cell,IFNG,cytokine,Positive,3,2.44
CL_0000138,chondrocyte,EGF,cytokine,Positive,3,12.59
CL_0000182,hepatocyte,TGFB1,cytokine,Positive,3,0.49
CL_0000499,stromal cell,IL4,cytokine,Negative,3,5.54
CL_0000084,T cell,IL23,cytokine,Positive,3,0.56
CL_0000182,hepatocyte,FGF2,cell,Positive,3,1.11
CL_0000815,regulatory T cell,TGFB,cell,Positive,3,2.55
CL_0000623,natural killer cell,IL22,cell,Positive,3,2.72
CL_0000625,"CD8-positive, alpha-beta T cell",IL6,cell,Positive,3,0.2
CL_0000542,lymphocyte,CD40LG,cytokine,Positive,3,0.45
CL_0000233,platelet,CSF2,cytokine,Unknown,3,1.1
CL_0000899,T-helper 17 cell,TGFB,cytokine,Negative,3,5.64
CL_0000624,"CD4-positive, alpha-beta T cell",IL13,cytokine,Positive,3,0.91
CL_0000824,mature natural killer cell,IL15,cytokine,Positive,3,5.48
CL_0000312,keratinocyte,CSF2,cytokine,Positive,3,0.51
CL_0000056,myoblast,IL6,cytokine,Positive,3,1.71
CL_0000771,eosinophil,CXCL10,cytokine,Positive,3,3.25
CL_0000623,natural killer cell,TGFB1,cytokine,Unknown,3,0.65
CL_0000542,lymphocyte,IFNB1,cytokine,Positive,3,0.97
CL_0000084,T cell,IL17F,cell,Positive,3,4.39
CL_0000169,type B pancreatic cell,IL1,cytokine,Positive,3,4.24
CL_0000546,T-helper 2 cell,IL9,cytokine,Unknown,3,51.64
CL_0000092,osteoclast,CSF3,cytokine,Positive,3,0.77
CL_0000235,macrophage,PPBP,cell,Positive,3,0.85
CL_0000556,megakaryocyte,IFNA,cytokine,Unknown,3,9.91
CL_0000236,B cell,CXCL12,cytokine,Positive,3,0.48
CL_0000912,helper T cell,IL2,cytokine,Positive,3,0.92
CL_0000576,monocyte,CXCL12,cytokine,Unknown,3,1.22
CL_0000084,T cell,SPP1,cytokine,Unknown,3,1.29
CL_0000235,macrophage,IL33,cytokine,Negative,3,3.09
CL_0000115,endothelial cell,TGFB2,cytokine,Positive,3,5.45
CL_0000625,"CD8-positive, alpha-beta T cell",IL18,cytokine,Positive,3,1.21
CL_0000235,macrophage,IL1,cytokine,Negative,3,0.67
CL_0000909,"CD8-positive, alpha-beta memory T cell",IL7,cytokine,Positive,3,24.26
CL_0002563,intestinal epithelial cell,HGF,cytokine,Positive,3,28.91
CL_0000097,mast cell,CXCL8,cytokine,Positive,3,0.65
CL_0000893,thymocyte,IL4,cytokine,Negative,3,6.03
CL_0000738,leukocyte,CXCL12,cytokine,Negative,3,6.15
CL_0000092,osteoclast,TNFSF11,cytokine,Unknown,3,117.72
CL_0000556,megakaryocyte,IL11,cytokine,Positive,3,29.79
CL_0000625,"CD8-positive, alpha-beta T cell",TGFB,cytokine,Negative,3,1.19
CL_0000451,dendritic cell,IL12B,cell,Positive,3,32.86
CL_0000235,macrophage,IL1B,cytokine,Negative,3,0.71
CL_0000771,eosinophil,TGFB1,cytokine,Negative,3,2.54
CL_0000034,stem cell,CCL3,cytokine,Unknown,3,29.38
CL_0002334,preadipocyte,FGF2,cytokine,Positive,3,13.68
CL_0000557,granulocyte monocyte progenitor cell,IFNG,cytokine,Negative,3,5.32
CL_0000182,hepatocyte,LECT2,cell,Positive,3,103.99
CL_0000235,macrophage,IL34,cytokine,Positive,3,5.48
CL_0000898,naive T cell,IFNG,cell,Positive,3,1.29
CL_0000037,hematopoietic stem cell,IFNG,cytokine,Negative,3,2.46
CL_0000097,mast cell,IFNG,cytokine,Positive,3,0.15
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL33,cytokine,Unknown,3,7.49
CL_0000771,eosinophil,CCL24,cytokine,Positive,3,17.89
CL_0000746,cardiac muscle cell,CSF3,cytokine,Positive,3,2.25
CL_0000625,"CD8-positive, alpha-beta T cell",TGFB1,cytokine,Unknown,3,0.71
CL_0000540,neuron,TGFB1,cell,Positive,3,0.65
CL_0000235,macrophage,FGF2,cytokine,Positive,3,0.11
CL_0000669,pericyte cell,PDGFB,cytokine,Positive,3,530.86
CL_0002327,mammary epithelial cell,TGFB1,cytokine,Unknown,3,22.61
CL_0000192,smooth muscle cell,PDGF,cytokine,Negative,3,230.39
CL_0000595,enucleate erythrocyte,EPO,cytokine,Negative,3,126.15
CL_0000092,osteoclast,CCL2,cytokine,Negative,3,6.23
CL_0000814,mature NK T cell,IL2,cytokine,Unknown,3,6.15
CL_0000784,plasmacytoid dendritic cell,IL12,cell,Positive,3,4.35
CL_0000236,B cell,CCL2,cytokine,Positive,3,0.25
CL_0000113,mononuclear phagocyte,IL1,cell,Positive,3,6.92
CL_0000624,"CD4-positive, alpha-beta T cell",IFNB1,cytokine,Positive,3,0.88
CL_0000540,neuron,IL1RN,cytokine,Negative,3,33.01
CL_0000990,conventional dendritic cell,TNF,cell,Positive,3,9.1
CL_0000019,sperm,IL6,cytokine,Positive,3,6.12
CL_0000893,thymocyte,TNF,cytokine,Unknown,3,1.59
CL_0000097,mast cell,IL15,cytokine,Unknown,3,6.53
CL_0000084,T cell,CCL4,cytokine,Negative,3,5.19
CL_0000556,megakaryocyte,IL6,cytokine,Negative,3,8.37
CL_0000066,epithelial cell,IL13,cytokine,Unknown,3,8.65
CL_0002092,bone marrow cell,IL5,cell,Positive,3,7.46
CL_0000062,osteoblast,IL6,cytokine,Negative,3,3.89
CL_0000786,plasma cell,IL21,cytokine,Positive,3,28.39
CL_0000899,T-helper 17 cell,IFNB1,cytokine,Negative,3,38.28
CL_0000034,stem cell,CXCL12,cytokine,Negative,3,19.45
CL_0000669,pericyte cell,TGFB1,cell,Positive,3,10.81
CL_0002334,preadipocyte,TNF,cytokine,Negative,3,19.37
CL_0000576,monocyte,IFNB1,cytokine,Unknown,3,1.83
CL_0000863,inflammatory macrophage,IL4,cytokine,Positive,3,5.23
CL_0000893,thymocyte,CXCL12,cytokine,Positive,3,3.12
CL_0000057,fibroblast,TGFB2,cytokine,Positive,3,4.12
CL_0000233,platelet,PDGF,cytokine,Unknown,3,13.19
CL_0000091,Kupffer cell,IFNG,cytokine,Unknown,3,2.76
CL_0000125,glial cell,IL1B,cell,Positive,3,6.33
CL_0000545,T-helper 1 cell,CSF2,cytokine,Positive,3,0.52
CL_0000623,natural killer cell,IFN1,cytokine,Positive,3,1.52
CL_0000625,"CD8-positive, alpha-beta T cell",IL13,cytokine,Positive,3,1.06
CL_0000236,B cell,TNFSF13B,cytokine,Negative,3,19.91
CL_0000037,hematopoietic stem cell,CCL3,cytokine,Negative,3,110.71
CL_0000092,osteoclast,TGFB,cytokine,Unknown,3,1.53
CL_0000557,granulocyte monocyte progenitor cell,IL6,cytokine,Unknown,3,6.12
CL_0000138,chondrocyte,CXCL8,cell,Positive,3,1.15
CL_0000775,neutrophil,IL12,cytokine,Unknown,3,0.54
CL_0000091,Kupffer cell,IL10,cell,Positive,3,4.1
CL_0000233,platelet,CD40LG,cytokine,Negative,3,4.94
CL_0000235,macrophage,IL15,cell,Positive,3,0.33
CL_0000899,T-helper 17 cell,IL35,cytokine,Negative,3,325.38
CL_0000451,dendritic cell,IFN1,cytokine,Positive,3,6.1
CL_0000235,macrophage,IL17A,cell,Positive,3,0.58
CL_0000912,helper T cell,IL12,cytokine,Positive,3,3.49
CL_0000542,lymphocyte,TGFB,cytokine,Negative,3,1.14
CL_0000584,enterocyte,CXCL8,cell,Positive,3,9.44
CL_0000542,lymphocyte,IFNB1,cytokine,Negative,3,7.71
CL_0000233,platelet,IL11,cytokine,Positive,3,5.09
CL_0000451,dendritic cell,IL6,cytokine,Positive,3,0.5
CL_0000624,"CD4-positive, alpha-beta T cell",IL21,cytokine,Positive,3,0.78
CL_0000023,oocyte,FGF2,cell,Positive,3,9.61
CL_1001607,articular chondrocyte,TGFB1,cytokine,Positive,3,9.15
CL_0000650,mesangial cell,TNF,cell,Positive,3,1.36
CL_0000232,erythrocyte,IL2,cell,Positive,3,1.49
CL_0000192,smooth muscle cell,TNF,cytokine,Positive,3,0.75
CL_0000084,T cell,TNFSF15,cytokine,Unknown,3,6.66
CL_0000236,B cell,IL1B,cytokine,Positive,3,0.19
CL_0000546,T-helper 2 cell,IL6,cytokine,Positive,3,0.44
CL_0000037,hematopoietic stem cell,KITLG,cytokine,Positive,3,17.83
CL_0000912,helper T cell,IL2,cytokine,Unknown,3,3.22
CL_0000576,monocyte,CXCL1,cytokine,Positive,3,2.04
CL_0000584,enterocyte,IFNG,cytokine,Positive,3,1.92
CL_0000623,natural killer cell,TNF,cytokine,Negative,3,0.54
CL_0000233,platelet,IL1A,cytokine,Positive,3,1.59
CL_0000077,mesothelial cell,TGFB,cytokine,Positive,3,7.39
CL_0000771,eosinophil,IL18,cytokine,Positive,3,1.07
CL_0000819,B-1 B cell,IL10,cell,Positive,3,9.94
CL_0000540,neuron,IL10,cytokine,Negative,3,2.38
CL_0000049,common myeloid progenitor,IL3,cytokine,Positive,3,104.06
CL_0000576,monocyte,IL12,cytokine,Unknown,3,0.51
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL21,cytokine,Positive,3,1.71
CL_0000738,leukocyte,CXCL10,cytokine,Unknown,3,6.58
CL_0000771,eosinophil,CCL2,cell,Positive,3,0.47
CL_0000148,melanocyte,KITLG,cytokine,Positive,3,61.79
CL_0000542,lymphocyte,IL21,cytokine,Unknown,3,3.03
CL_0000233,platelet,TGFB,cytokine,Positive,3,0.2
CL_0000233,platelet,CXCL12,cytokine,Unknown,3,3.13
CL_0000057,fibroblast,CXCL10,cytokine,Negative,3,12.28
CL_0000786,plasma cell,CSF3,cell,Positive,3,7.28
CL_0000625,"CD8-positive, alpha-beta T cell",IFNA,cytokine,Unknown,3,1.28
CL_0000128,oligodendrocyte,IL1B,cytokine,Positive,3,4.36
CL_0000097,mast cell,IL6,cytokine,Unknown,3,1.34
CL_0000056,myoblast,TGFB,cytokine,Unknown,3,6.62
CL_0000192,smooth muscle cell,IL1B,cytokine,Positive,3,2.65
CL_0000557,granulocyte monocyte progenitor cell,IFNA,cytokine,Unknown,3,16.51
CL_0000129,microglial cell,IL4,cytokine,Unknown,3,1.98
CL_0000047,neuronal stem cell,FGF2,cytokine,Positive,3,13.02
CL_0000127,astrocyte,CSF1,cell,Positive,3,2.7
CL_0000235,macrophage,CD40LG,cytokine,Negative,3,1.27
CL_0000097,mast cell,IFNG,cytokine,Unknown,3,0.51
CL_0000893,thymocyte,IL4,cytokine,Positive,3,0.76
CL_0000540,neuron,CCL26,cell,Positive,3,15.33
CL_0000084,T cell,XCL1,cytokine,Positive,3,4.75
CL_0000097,mast cell,IL10,cytokine,Unknown,3,1.35
CL_0000135,fibrocyte,TGFB1,cell,Positive,3,11.58
CL_0000624,"CD4-positive, alpha-beta T cell",TNFSF4,cytokine,Positive,3,7.72
CL_0002139,endothelial cell of vascular tree,IFNG,cytokine,Positive,3,1
CL_0000623,natural killer cell,IL4,cytokine,Positive,3,0.15
CL_0000623,natural killer cell,CSF3,cytokine,Negative,3,1.92
CL_0000910,cytotoxic T cell,IL10,cytokine,Negative,3,10.36
CL_0000899,T-helper 17 cell,CCL20,cytokine,Positive,3,18.73
CL_0000034,stem cell,CSF1,cell,Positive,3,2.63
CL_0002334,preadipocyte,IL6,cell,Positive,3,6.57
CL_0000576,monocyte,IFN1,cytokine,Unknown,3,2.98
CL_0000738,leukocyte,CCL4,cytokine,Unknown,3,13.25
CL_0000775,neutrophil,IFNB1,cytokine,Positive,3,0.55
CL_0002328,bronchial epithelial cell,IL13,cytokine,Positive,3,19.12
CL_0000775,neutrophil,IFNG,cytokine,Unknown,3,0.1
CL_0000623,natural killer cell,IL15,cytokine,Negative,3,6.43
CL_0000125,glial cell,IL1,cytokine,Unknown,3,14.17
CL_0000625,"CD8-positive, alpha-beta T cell",CCL2,cytokine,Positive,3,0.27
CL_0000127,astrocyte,CXCL12,cell,Positive,3,3.7
CL_0000820,B-1a B cell,IL10,cell,Positive,3,36.43
CL_0000545,T-helper 1 cell,IL22,cell,Positive,3,6.52
CL_0000893,thymocyte,TGFB,cytokine,Positive,3,0.69
CL_0000540,neuron,CSF1,cytokine,Positive,3,1.08
CL_0000092,osteoclast,IL1,cytokine,Unknown,3,2.51
CL_0000623,natural killer cell,IL7,cytokine,Unknown,3,1.64
CL_0000236,B cell,IFN1,cytokine,Positive,3,1.18
CL_0000910,cytotoxic T cell,IL12,cytokine,Positive,3,2.7
CL_0000351,trophoblast cell,TNF,cytokine,Unknown,3,11.22
CL_0000738,leukocyte,IL13,cytokine,Unknown,3,4.22
CL_0000101,sensory neuron,IL31,cytokine,Positive,3,1876.98
CL_0000187,muscle cell,TGFB1,cytokine,Positive,3,3.66
CL_0000624,"CD4-positive, alpha-beta T cell",IL5,cytokine,Positive,3,0.43
CL_0000160,goblet cell,IL33,cytokine,Positive,3,26.37
CL_0000129,microglial cell,CCL2,cytokine,Positive,3,1.54
CL_0002404,fetal thymocyte,IL2,cytokine,Unknown,3,47.16
CL_0000127,astrocyte,FGF1,cytokine,Positive,3,15.46
CL_0000771,eosinophil,IL3,cytokine,Positive,3,1.11
CL_0000581,peritoneal macrophage,IL4,cytokine,Positive,3,1.08
CL_0000625,"CD8-positive, alpha-beta T cell",CSF2,cytokine,Unknown,3,0.83
CL_0000056,myoblast,IFNG,cytokine,Positive,3,0.65
CL_0000583,alveolar macrophage,TGFB1,cell,Positive,3,2.68
CL_0002620,skin fibroblast,TGFB,cytokine,Positive,3,10.16
CL_0000092,osteoclast,IL11,cytokine,Positive,3,11.21
CL_0000094,granulocyte,IL1,cytokine,Positive,3,1.45
CL_0000066,epithelial cell,IL15,cell,Positive,3,2.28
CL_0000650,mesangial cell,TGFB,cytokine,Negative,3,19.87
CL_0000860,classical monocyte,CCL2,cytokine,Positive,3,20.76
CL_0000232,erythrocyte,IFNG,cytokine,Unknown,3,2.45
CL_0000746,cardiac muscle cell,TGFB1,cytokine,Positive,3,1.73
CL_0000097,mast cell,CCL11,cell,Positive,3,5.36
CL_0000092,osteoclast,SPP1,cytokine,Positive,3,5.48
CL_0000138,chondrocyte,CXCL12,cytokine,Positive,3,3.81
CL_0002328,bronchial epithelial cell,TGFB1,cytokine,Positive,3,4.88
CL_0000775,neutrophil,CCL3,cytokine,Unknown,3,4.44
CL_0000451,dendritic cell,IFNA,cytokine,Positive,3,1.34
CL_0000034,stem cell,LIF,cytokine,Unknown,3,53.6
CL_0000898,naive T cell,IL7,cytokine,Positive,3,8.72
CL_0000738,leukocyte,IL7,cytokine,Unknown,3,2.05
CL_0000182,hepatocyte,IL1RN,cell,Positive,3,8.94
CL_0000187,muscle cell,GDF15,cytokine,Positive,3,60.83
CL_0000546,T-helper 2 cell,IL12,cytokine,Positive,3,0.91
CL_0000624,"CD4-positive, alpha-beta T cell",IL21,cytokine,Unknown,3,2.74
CL_0000127,astrocyte,TGFA,cell,Positive,3,14.23
CL_0000910,cytotoxic T cell,IL4,cell,Positive,3,2.3
CL_0002372,myotube,TNF,cytokine,Positive,3,6.68
CL_0000860,classical monocyte,TNF,cell,Positive,3,8.45
CL_0000235,macrophage,CCL26,cytokine,Unknown,3,5.64
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL1B,cell,Positive,3,0.72
CL_0000542,lymphocyte,IL1B,cytokine,Negative,3,1.98
CL_0000182,hepatocyte,TNF,cytokine,Negative,3,1.41
CL_0000216,Sertoli cell,IL1A,cell,Positive,3,73.83
CL_0000542,lymphocyte,CCL6,cell,Positive,3,9.18
CL_0000235,macrophage,IL17,cytokine,Unknown,3,0.51
CL_0000815,regulatory T cell,TGFB,cytokine,Positive,3,1.73
CL_0000312,keratinocyte,IL6,cytokine,Positive,3,0.39
CL_0000738,leukocyte,IFNB1,cytokine,Positive,3,1.16
CL_0000322,pneumocyte,TGFB1,cytokine,Positive,3,7.85
CL_0000576,monocyte,CX3CL1,cytokine,Positive,3,1.15
CL_0000746,cardiac muscle cell,IL17A,cytokine,Positive,3,13.26
CL_0000775,neutrophil,IL27,cytokine,Negative,3,11.99
CL_0000738,leukocyte,CCL2,cytokine,Negative,3,2.44
CL_0000235,macrophage,IL3,cytokine,Positive,3,0.32
CL_0000784,plasmacytoid dendritic cell,CSF2,cytokine,Unknown,3,6.46
CL_0000127,astrocyte,TGFB,cytokine,Positive,3,0.55
CL_0000047,neuronal stem cell,CCL2,cytokine,Unknown,3,39.13
CL_0000034,stem cell,IFNA,cytokine,Unknown,3,4.61
CL_0000788,naive B cell,IL4,cytokine,Positive,3,19.75
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL21,cytokine,Negative,3,13.61
CL_0000092,osteoclast,TNF,cytokine,Negative,3,1.72
CL_0000138,chondrocyte,IFNG,cytokine,Negative,3,1.39
CL_0000218,myelinating Schwann cell,TNF,cell,Positive,3,3.82
CL_0000546,T-helper 2 cell,TGFB,cytokine,Positive,3,0.48
CL_0000092,osteoclast,CXCL8,cytokine,Positive,3,0.67
CL_0000556,megakaryocyte,IFNA,cytokine,Positive,3,2.83
CL_0000624,"CD4-positive, alpha-beta T cell",IL16,cell,Positive,3,6.55
CL_0000359,vascular associated smooth muscle cell,PDGF,cytokine,Positive,3,70.26
CL_0000771,eosinophil,TGFB,cytokine,Negative,3,2.35
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",TNF,cytokine,Unknown,3,0.48
CL_0000576,monocyte,CXCL12,cytokine,Positive,3,0.35
CL_0000738,leukocyte,CCL20,cytokine,Unknown,3,15.85
CL_0002619,adult endothelial progenitor cell,TNF,cytokine,Negative,3,12.53
CL_0000214,synovial cell,IL1,cell,Positive,3,4.43
CL_0002328,bronchial epithelial cell,CXCL8,cytokine,Unknown,3,14.56
CL_0000235,macrophage,IL33,cytokine,Unknown,3,1.36
CL_0000623,natural killer cell,IL1,cytokine,Unknown,3,0.79
CL_0000081,blood cell,CSF2,cytokine,Positive,3,18.33
CL_0002563,intestinal epithelial cell,IFNG,cytokine,Positive,3,1.23
CL_0000084,T cell,CCL22,cytokine,Positive,3,1.83
CL_0000775,neutrophil,IL1A,cytokine,Negative,3,5.21
CL_0000763,myeloid cell,CSF1,cytokine,Unknown,3,14.55
CL_0002139,endothelial cell of vascular tree,HGF,cytokine,Positive,3,31.49
CL_0000623,natural killer cell,IL33,cytokine,Positive,3,1.04
CL_0000138,chondrocyte,TGFB3,cytokine,Unknown,3,220.37
CL_0000775,neutrophil,IL4,cytokine,Positive,3,0.12
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL10,cytokine,Negative,3,2.04
CL_0000057,fibroblast,IFNB1,cytokine,Positive,3,1.27
CL_0000546,T-helper 2 cell,IL25,cytokine,Unknown,3,84.87
CL_0000625,"CD8-positive, alpha-beta T cell",IL21,cytokine,Negative,3,7.25
CL_0000815,regulatory T cell,IL17,cell,Positive,3,7.37
CL_0000127,astrocyte,CX3CL1,cell,Positive,3,16.34
CL_0000625,"CD8-positive, alpha-beta T cell",CCL2,cytokine,Negative,3,2.13
CL_0000547,proerythroblast,EPO,cytokine,Unknown,3,678.18
CL_0000545,T-helper 1 cell,IL21,cytokine,Positive,3,1.99
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL33,cytokine,Positive,3,2.14
CL_0000094,granulocyte,CXCL8,cytokine,Positive,3,1.36
CL_0000623,natural killer cell,IL6,cell,Positive,3,0.18
CL_0000233,platelet,FGF2,cytokine,Unknown,3,1.45
CL_0000235,macrophage,IL1RN,cytokine,Unknown,3,2.25
CL_0000127,astrocyte,IL33,cell,Positive,3,6.24
CL_0000624,"CD4-positive, alpha-beta T cell",CCL9,cytokine,Positive,3,10.98
CL_0000236,B cell,TGFB,cytokine,Positive,3,0.11
CL_0000232,erythrocyte,EPO,cytokine,Negative,3,77.26
CL_0002327,mammary epithelial cell,TGFB1,cytokine,Positive,3,6.46
CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",IL12,cytokine,Unknown,3,1.86
CL_0000738,leukocyte,CCL5,cytokine,Positive,3,4.32
CL_0000092,osteoclast,IL6,cytokine,Negative,3,3.15
CL_0000148,melanocyte,FGF2,cytokine,Negative,3,38.58
CL_1000488,cholangiocyte,IL6,cytokine,Positive,3,13.35
CL_0000182,hepatocyte,TGF,cytokine,Unknown,3,48.44
CL_0000624,"CD4-positive, alpha-beta T cell",IL5,cytokine,Unknown,3,1.52
CL_0000312,keratinocyte,IL22,cytokine,Negative,3,34.51
CL_0000127,astrocyte,FGF2,cytokine,Positive,3,1.16
CL_0000322,pneumocyte,CSF2,cytokine,Positive,3,9.16
CL_0000066,epithelial cell,IL13,cytokine,Positive,3,2.47
CL_0000129,microglial cell,IL10,cytokine,Positive,3,0.47
CL_0000235,macrophage,IL2,cytokine,Positive,3,0.03
CL_0000136,fat cell,IL17A,cytokine,Positive,3,4.8
CL_0000669,pericyte cell,TGFB1,cytokine,Positive,3,7.32
CL_0000545,T-helper 1 cell,IL17,cytokine,Negative,3,7.54
CL_0000746,cardiac muscle cell,TGFB,cytokine,Positive,3,1.28
CL_0000893,thymocyte,IFNG,cytokine,Negative,3,1.9
CL_0000092,osteoclast,SPP1,cytokine,Negative,3,43.67
CL_0000557,granulocyte monocyte progenitor cell,IL4,cytokine,Negative,3,22.5
CL_0000129,microglial cell,TGFB1,cytokine,Negative,3,5.58
CL_0000091,Kupffer cell,IFNG,cytokine,Positive,3,0.79
CL_0000062,osteoblast,CSF2,cell,Positive,3,1.26
CL_0000115,endothelial cell,IL18,cytokine,Unknown,3,3.93
CL_0000624,"CD4-positive, alpha-beta T cell",IL12,cytokine,Negative,3,1.95
CL_0000127,astrocyte,IFNB1,cytokine,Positive,3,3.77
CL_0000540,neuron,IL6,cytokine,Negative,3,2.36
CL_0000545,T-helper 1 cell,IL6,cell,Positive,3,0.44
CL_0000115,endothelial cell,CSF2,cell,Positive,3,0.43
CL_0000584,enterocyte,CCL20,cell,Positive,3,163
CL_0000182,hepatocyte,IL1B,cytokine,Positive,3,0.63
CL_0000096,mature neutrophil,IL12,cell,Positive,3,7.2
CL_0000625,"CD8-positive, alpha-beta T cell",IL15,cytokine,Negative,3,5.27
CL_0000362,epidermal cell,EGF,cytokine,Positive,3,175.77
CL_0000576,monocyte,TGFB,cytokine,Negative,3,0.61
CL_0000890,alternatively activated macrophage,IL6,cell,Positive,3,4.93
CL_0000235,macrophage,LIF,cytokine,Positive,3,1.44
CL_0000815,regulatory T cell,TGFB,cytokine,Unknown,3,6.05
CL_0000084,T cell,IL27,cytokine,Positive,3,0.41
CL_0000624,"CD4-positive, alpha-beta T cell",IL13,cytokine,Unknown,3,3.19
CL_0000037,hematopoietic stem cell,IL6,cytokine,Unknown,3,2.82
CL_0000540,neuron,CXCL10,cell,Positive,3,8.86
CL_0000556,megakaryocyte,TGFB1,cytokine,Positive,3,1.57
CL_0000235,macrophage,IL27,cytokine,Positive,3,0.7
CL_0000057,fibroblast,GDF15,cell,Positive,3,4.64
CL_0000784,plasmacytoid dendritic cell,CCL4L2,cell,Positive,3,464.96
CL_0000362,epidermal cell,IL10,cell,Positive,3,9.5
CL_0000034,stem cell,HGF,cytokine,Positive,3,5.86
CL_0000650,mesangial cell,TNF,cytokine,Positive,3,0.92
CL_0000540,neuron,IL1,cytokine,Negative,3,4.3
CL_0000338,neuroblast (sensu Nematoda and Protostomia),FGF2,cytokine,Positive,3,37.63
CL_0000084,T cell,TNFSF15,cytokine,Positive,3,1.9
CL_0000216,Sertoli cell,IL6,cell,Positive,3,8.34
CL_0000218,myelinating Schwann cell,GDF15,cytokine,Positive,3,117.73
CL_0000542,lymphocyte,CSF3,cytokine,Unknown,2,0.58
CL_0000236,B cell,CXCL12,cytokine,Unknown,2,1.12
CL_0000129,microglial cell,CXCL12,cytokine,Unknown,2,5.45
CL_0000084,T cell,IL32,cytokine,Unknown,2,4.44
CL_0002092,bone marrow cell,EPO,cytokine,Positive,2,4.78
CL_0000623,natural killer cell,CCL2,cytokine,Positive,2,0.16
CL_0000738,leukocyte,PF4,cytokine,Positive,2,0.99
CL_0000910,cytotoxic T cell,CSF2,cytokine,Positive,2,1.5
CL_0000145,professional antigen presenting cell,PF4,cytokine,Unknown,2,56.53
CL_0000122,stellate cell,TGFB,cytokine,Unknown,2,31.61
CL_0000312,keratinocyte,CXCL12,cytokine,Positive,2,0.97
CL_0000115,endothelial cell,CXCL12,cytokine,Negative,2,4.45
CL_0000097,mast cell,IL4,cytokine,Negative,2,2.45
CL_0000056,myoblast,PPBP,cytokine,Positive,2,14.35
CL_0000813,memory T cell,IL7,cytokine,Unknown,2,30.27
